Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Grade,Final_Result
1,3.7,43.0,40.9,77.1,32.9,F,Fail
2,9.5,67.9,39.8,85.8,42.2,F,Fail
3,7.3,91.1,92.5,47.5,40.4,B,Pass
4,6.0,81.3,40.0,73.7,16.2,B,Pass
5,1.6,,41.8,70.0,16.0,C,Pass
6,1.6,76.1,80.8,88.3,20.7,B,Pass
7,0.6,78.5,56.0,93.4,24.4,F,Fail
8,8.7,89.4,82.1,30.9,26.3,B,Pass
9,6.0,47.5,25.2,77.2,37.2,C,Pass
10,7.1,64.3,59.0,33.6,12.3,F,Fail
11,0.2,45.5,22.7,68.4,11.4,F,Fail
12,9.7,99.1,25.0,50.1,25.7,B,Pass
13,8.3,96.1,92.5,51.5,37.9,B,Pass
14,2.1,32.8,31.1,54.7,17.7,F,Fail
15,1.8,79.4,62.6,73.5,35.7,C,Pass
16,1.8,94.8,52.9,53.4,20.4,F,Fail
17,3.0,42.6,47.8,81.3,45.4,B,Pass
18,5.2,69.8,92.0,58.3,45.8,B,Pass
19,4.3,94.1,21.7,34.8,21.9,F,Fail
20,2.9,32.4,73.1,84.9,19.2,B,Pass
21,6.1,78.8,97.1,50.0,26.5,B,Pass
22,1.4,50.8,64.8,60.3,19.6,C,Pass
23,2.9,94.7,94.9,78.0,36.9,B,Pass
24,3.7,98.0,24.2,53.3,43.0,B,Pass
25,4.6,96.1,53.5,34.0,36.9,B,Pass
26,7.9,63.2,40.8,56.2,43.0,F,Fail
27,2.0,90.3,78.5,96.1,25.9,A,Pass
28,5.1,89.1,98.5,74.9,16.3,A,Pass
29,5.9,52.3,40.5,77.0,39.5,C,Pass
30,0.5,88.0,72.3,74.3,24.4,F,Fail
31,6.1,32.6,35.8,43.9,36.9,C,Pass
32,1.7,71.7,65.2,59.3,20.8,C,Pass
33,0.7,46.1,57.1,82.6,13.2,F,Fail
34,9.5,38.4,97.8,37.1,49.7,A,Pass
35,9.7,35.4,68.7,49.4,16.2,B,Pass
36,8.1,78.7,48.0,49.3,49.5,A,Pass
37,3.0,53.8,29.1,60.2,49.1,C,Pass
38,1.0,80.7,32.1,98.6,41.8,F,Fail
39,6.8,34.6,38.0,34.7,36.4,B,Pass
40,4.4,52.1,40.1,66.3,33.1,B,Pass
